ID,Category,Sample Query,Ground Truth Answer,Source Document
1,Act,What does the tax code consider as gross income?,"IRC § 61 defines gross income broadly as all income from whatever source derived, including compensation, business income, gains from property, interest, rents, and dividends — income is taxed unless specifically excluded elsewhere in the Code.",Internal Revenue Code § 61
2,Act,Can a business deduct salaries paid to employees?,"Yes. IRC § 162 allows a deduction for ordinary and necessary business expenses, expressly including a reasonable allowance for salaries or other compensation for services actually rendered.",Internal Revenue Code § 162
3,Act,Is interest paid on a business loan deductible?,"Generally yes, under IRC § 163, though limitations apply, including the business interest expense limitation under § 163(j) tied to a percentage of adjusted taxable income.",Internal Revenue Code § 163
4,Act,What are the limits on deducting charitable cash donations?,"Under IRC § 170, individual cash contributions to public charities are generally deductible up to 60% of adjusted gross income, with a five-year carryforward for amounts exceeding the limit.",Internal Revenue Code § 170
5,Act,Can a small business immediately expense equipment purchases instead of depreciating them?,"Yes, IRC § 179 allows an election to expense the cost of qualifying depreciable business property in the year it's placed in service, subject to an annual dollar limit and phase-out threshold.",Internal Revenue Code § 179
6,Act,What is the qualified business income deduction?,"IRC § 199A allows eligible owners of pass-through businesses to deduct up to 20% of qualified business income, subject to wage/capital limits and restrictions for specified service trades or businesses above certain income thresholds.",Internal Revenue Code § 199A
7,Act,Can I deduct a loss from selling property to a family member?,"No. IRC § 267 disallows losses on sales or exchanges of property between related parties, such as family members or a corporation and its majority shareholder.",Internal Revenue Code § 267
8,Act,Are client entertainment expenses deductible?,"Generally no. IRC § 274 disallows deductions for entertainment, amusement, or recreation expenses, though business meals remain partially deductible subject to separate substantiation rules.",Internal Revenue Code § 274
9,Act,Do I recognize gain when I contribute property to a corporation I control?,Generally no. IRC § 351 provides nonrecognition treatment when property is transferred to a corporation solely in exchange for stock and the transferors control the corporation immediately afterward.,Internal Revenue Code § 351
10,Act,What makes a retirement plan 'qualified' for tax purposes?,"IRC § 401 sets the requirements a pension or profit-sharing plan must meet to receive favorable tax treatment, including nondiscrimination rules, vesting schedules, and contribution/benefit limits.",Internal Revenue Code § 401
11,Act,Can I deduct rental property losses against my salary income?,"Generally no, unless an exception applies. IRC § 469 limits passive activity losses (including most rental losses) to offsetting only passive income, with a limited exception for active participation in rental real estate.",Internal Revenue Code § 469
12,Act,What qualifies an organization for tax-exempt status?,"IRC § 501 sets out categories of exempt organizations, most notably § 501(c)(3) for charitable, religious, educational, and similar organizations meeting organizational and operational tests.",Internal Revenue Code § 501
13,Act,How are partnership profits allocated for tax purposes?,"IRC § 704 governs a partner's distributive share of partnership income, gain, loss, and deduction, generally respecting the partnership agreement's allocations if they have substantial economic effect.",Internal Revenue Code § 704
14,Act,Do I owe tax when I contribute property to a partnership in exchange for a partnership interest?,Generally no. IRC § 721 provides nonrecognition of gain or loss when property is contributed to a partnership in exchange for an interest in that partnership.,Internal Revenue Code § 721
